2021-08-18 16:57:18,218; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-02
2021-08-18 16:57:25,623; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:25,623; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 200
2021-08-18 16:57:25,724; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E+00
2021-08-18 16:57:33,097; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:33,098; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 188
2021-08-18 16:57:33,214; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 16:57:40,339; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:40,340; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 177
2021-08-18 16:57:40,437; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:57:47,581; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 2
2021-08-18 16:57:47,582; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 168
2021-08-18 16:57:47,675; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-01
2021-08-18 16:57:54,754; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:57:54,755; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 320
2021-08-18 16:57:54,851; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E-01
2021-08-18 16:58:00,325; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:00,326; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 304
2021-08-18 16:58:00,428; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:58:05,899; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:05,900; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 290
2021-08-18 16:58:06,002; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 2.31E-01
2021-08-18 16:58:11,337; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:11,337; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 278
2021-08-18 16:58:11,439; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 5.34E-01
2021-08-18 16:58:16,724; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:16,725; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 266
2021-08-18 16:58:16,824; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 6.58E-01
2021-08-18 16:58:22,012; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:22,012; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 256
2021-08-18 16:58:22,114; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 4.33E-02
2021-08-18 16:58:27,354; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:27,355; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 246
2021-08-18 16:58:27,465; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.23E+00
2021-08-18 16:58:32,751; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:32,752; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 237
2021-08-18 16:58:32,849; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.52E+00
2021-08-18 16:58:38,029; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
2021-08-18 16:58:38,030; INFO; nprophet.config; set_auto_batch_epoch; Auto-set epochs to 228
2021-08-18 16:58:38,134; INFO; nprophet; _lr_range_test; learning rate range test found optimal lr: 1.87E+00
2021-08-18 16:58:43,238; INFO; nprophet.config; set_auto_batch_epoch; Auto-set batch_size to 8
